sample	ref_genome	chr	start	end	copy_number	status	MWU_test_p_value	KS_test_p_value
AND1702-8.a	S288C.genome.fa	S288C_chrI	13501	24250	0	loss	9.34101794519747e-11	1.42541534131624e-12
AND1702-8.a	S288C.genome.fa	S288C_chrI	25251	27750	2	gain	0.0148314172576106	0.0380130023260742
AND1702-8.a	S288C.genome.fa	S288C_chrI	199001	203250	0	loss	1.07378904606329e-12	8.99280649946377e-15
AND1702-8.a	S288C.genome.fa	S288C_chrI	203251	207250	0	loss	0.0930416346392332	0.00979952119216532
AND1702-8.a	S288C.genome.fa	S288C_chrII	469751	474750	0	loss	1.03520201011158e-14	0
AND1702-8.a	S288C.genome.fa	S288C_chrII	694751	695250	0	loss	0.0146189693840814	0.0375181570674231
AND1702-8.a	S288C.genome.fa	S288C_chrII	803251	808750	2	gain	5.76924648824387e-06	1.51025366434965e-06
AND1702-8.a	S288C.genome.fa	S288C_chrIII	96251	97750	0	loss	2.22936574282021e-05	1.24152524941801e-05
AND1702-8.a	S288C.genome.fa	S288C_chrIV	17251	18000	0	loss	0.0144070034047976	0.0367831365341694
AND1702-8.a	S288C.genome.fa	S288C_chrIV	1169251	1210750	2	gain	3.32417127839595e-105	0
AND1702-8.a	S288C.genome.fa	S288C_chrIV	1210751	1214250	2	gain	1.06597970918505e-10	1.71718195218773e-12
AND1702-8.a	S288C.genome.fa	S288C_chrV	6501	10500	0	loss	5.27528504400451e-12	9.69224700497762e-14
AND1702-8.a	S288C.genome.fa	S288C_chrV	116001	117250	0	loss	0.00010848530986117	9.19312851535015e-05
AND1702-8.a	S288C.genome.fa	S288C_chrVI	32501	33000	5	gain	0.0143695567664853	0.0367301752506236
AND1702-8.a	S288C.genome.fa	S288C_chrVII	1069251	1076250	0	loss	5.27511720109934e-20	0
AND1702-8.a	S288C.genome.fa	S288C_chrVII	1079251	1084250	0	loss	0.000193780689505185	0.000397057301347759
AND1702-8.a	S288C.genome.fa	S288C_chrVIII	558501	561750	2	gain	4.65973030055796e-10	1.16687770557178e-11
AND1702-8.a	S288C.genome.fa	S288C_chrVIII	570001	572750	2	gain	1.07788752950333e-08	6.85599021998939e-10
AND1702-8.a	S288C.genome.fa	S288C_chrVIII	572751	574750	5	gain	4.67944752816405e-06	1.6996217236942e-06
AND1702-8.a	S288C.genome.fa	S288C_chrXI	15751	16250	0	loss	0.0143431755569419	0.0367367917606765
AND1702-8.a	S288C.genome.fa	S288C_chrXI	382501	382750	3	gain	0.0836820747074253	0.270749838523338
AND1702-8.a	S288C.genome.fa	S288C_chrXI	665251	666750	0	loss	0.000537120178816082	0.000676507849330155
AND1702-8.a	S288C.genome.fa	S288C_chrXII	105251	105750	26	gain	0.0143893707497966	0.0368759795421461
AND1702-8.a	S288C.genome.fa	S288C_chrXII	483751	484750	45	gain	0.000532893233154962	0.000672862103438643
AND1702-8.a	S288C.genome.fa	S288C_chrXII	1064001	1065000	0	loss	0.000592511558453014	0.000838481184660234
AND1702-8.a	S288C.genome.fa	S288C_chrXIV	1	250	0	loss	0.0833826460216382	0.270411574445048
AND1702-8.a	S288C.genome.fa	S288C_chrXV	1	14750	0	loss	9.38078401015123e-34	0
AND1702-8.a	S288C.genome.fa	S288C_chrXV	30751	32500	0	loss	1.45034040695338e-05	8.04968581468168e-05
AND1702-8.a	S288C.genome.fa	S288C_chrXV	85251	85500	3	gain	0.0837937120518505	0.270943270801204
AND1702-8.a	S288C.genome.fa	S288C_chrXV	197001	197250	3	gain	0.0837937120518505	0.270943270801204
AND1702-8.a	S288C.genome.fa	S288C_chrXV	721501	723000	0	loss	2.32639042095837e-05	1.375448239882e-05
AND1702-8.a	S288C.genome.fa	S288C_chrXV	1069501	1074250	0	loss	0.000140196568153724	9.86105941169768e-06
AND1702-8.a	S288C.genome.fa	S288C_chrXVI	17001	26000	2	gain	2.5894406783364e-15	1.30007116183606e-13
AND1702-8.a	S288C.genome.fa	S288C_chrXVI	193001	193250	3	gain	0.0837099727464326	0.270798187147659
AND1702-8.a	S288C.genome.fa	S288C_chrXVI	925251	927000	2	gain	4.92483568630978e-06	1.7964319846131e-06
