sample	ref_genome	chr	start	end	copy_number	status	MWU_test_p_value	KS_test_p_value
AND1702-8.a	ref.genome.fa	ref_chrI	13251	23750	0	loss	2.02784054046291e-11	1.94733118519252e-13
AND1702-8.a	ref.genome.fa	ref_chrI	198501	202750	0	loss	9.976308465749e-13	4.55191440096314e-15
AND1702-8.a	ref.genome.fa	ref_chrI	202751	230000	0	loss	6.24876515557745e-07	4.96900176560899e-09
AND1702-8.a	ref.genome.fa	ref_chrII	469501	472250	0	loss	9.42176680830141e-09	5.81303782887233e-10
AND1702-8.a	ref.genome.fa	ref_chrII	803251	808000	2	gain	6.58616334448384e-06	6.7564037885548e-06
AND1702-8.a	ref.genome.fa	ref_chrIII	84501	92500	0	loss	4.68538916876384e-06	1.71144315674887e-06
AND1702-8.a	ref.genome.fa	ref_chrIII	148501	151500	0	loss	2.03090318030874e-09	7.8412942805528e-11
AND1702-8.a	ref.genome.fa	ref_chrIII	306251	307000	3	gain	0.0144092108613833	0.0368030181130657
AND1702-8.a	ref.genome.fa	ref_chrIV	1161501	1206500	2	gain	9.60733182803799e-114	0
AND1702-8.a	ref.genome.fa	ref_chrV	6251	10250	0	loss	8.37988452251563e-12	1.50113255159567e-12
AND1702-8.a	ref.genome.fa	ref_chrV	21251	22000	2	gain	0.01458215765761	0.0371557514625336
AND1702-8.a	ref.genome.fa	ref_chrV	115751	117000	0	loss	0.000108625177921476	9.2055549211989e-05
AND1702-8.a	ref.genome.fa	ref_chrV	520501	521000	0	loss	0.0164172923146114	0.0429867639571326
AND1702-8.a	ref.genome.fa	ref_chrVII	89251	89750	0	loss	0.0145732442707108	0.0373701509146357
AND1702-8.a	ref.genome.fa	ref_chrVII	977751	978000	2	gain	0.083821651856206	0.270991666133869
AND1702-8.a	ref.genome.fa	ref_chrVII	1068751	1084000	0	loss	1.11373739423517e-23	0
AND1702-8.a	ref.genome.fa	ref_chrVIII	555751	557000	2	gain	0.805450835986345	0.271584716444562
AND1702-8.a	ref.genome.fa	ref_chrX	197001	205250	0	loss	4.77311704094412e-05	5.27927978463127e-05
AND1702-8.a	ref.genome.fa	ref_chrX	416501	417000	2	gain	0.014734422312448	0.0377411778230025
AND1702-8.a	ref.genome.fa	ref_chrXI	15751	16250	0	loss	0.0143497675418529	0.0367566503807136
AND1702-8.a	ref.genome.fa	ref_chrXI	440001	440250	4	gain	0.0835148492378405	0.270459888518418
AND1702-8.a	ref.genome.fa	ref_chrXI	665251	666750	0	loss	0.000539265023579645	0.000677239359948567
AND1702-8.a	ref.genome.fa	ref_chrXII	459751	460500	47	gain	0.00270479037789715	0.00496353734264832
AND1702-8.a	ref.genome.fa	ref_chrXII	1062001	1065000	0	loss	2.54677970379443e-05	1.76974170280619e-05
AND1702-8.a	ref.genome.fa	ref_chrXIII	183501	184000	0	loss	0.0144290735045248	0.0369357794093793
AND1702-8.a	ref.genome.fa	ref_chrXIII	923251	924250	0	loss	0.000545549752195778	0.000694017559042193
AND1702-8.a	ref.genome.fa	ref_chrXIV	235751	236000	3	gain	0.0837309107993427	0.270846560313258
AND1702-8.a	ref.genome.fa	ref_chrXIV	752001	753250	2	gain	0.000588686140257844	0.000748592699780781
AND1702-8.a	ref.genome.fa	ref_chrXV	1	14750	0	loss	9.22477365626314e-34	0
AND1702-8.a	ref.genome.fa	ref_chrXV	29251	31250	2	gain	0.000285468424489562	1.83292234799959e-05
AND1702-8.a	ref.genome.fa	ref_chrXV	31251	32500	0	loss	0.000117067306686045	0.000116382377717827
AND1702-8.a	ref.genome.fa	ref_chrXV	85251	85500	2	gain	0.0839194620176333	0.271161027893552
AND1702-8.a	ref.genome.fa	ref_chrXV	197001	197250	2	gain	0.0840173645561291	0.271330466806177
AND1702-8.a	ref.genome.fa	ref_chrXV	721501	722750	0	loss	0.000109155041689444	9.34747772318723e-05
AND1702-8.a	ref.genome.fa	ref_chrXV	1069501	1074250	0	loss	0.000441239410267365	6.94990973423293e-05
AND1702-8.a	ref.genome.fa	ref_chrXVI	23001	25750	2	gain	9.94245582385349e-09	6.01791394494455e-10
AND1702-8.a	ref.genome.fa	ref_chrXVI	331751	332000	2	gain	0.084073350361585	0.271427323684825
AND1702-8.a	ref.genome.fa	ref_chrXVI	925001	927000	2	gain	3.78655048357472e-06	1.02986822765327e-05
AND1702-8.b	ref.genome.fa	ref_chrI	1	1000	3	gain	0.000551301714973582	0.000696211541746594
AND1702-8.b	ref.genome.fa	ref_chrII	137501	137750	3	gain	0.0841135202612696	0.271496820968277
AND1702-8.b	ref.genome.fa	ref_chrII	469501	472250	0	loss	9.85451595976784e-09	6.37751740306669e-10
AND1702-8.b	ref.genome.fa	ref_chrIII	1	500	0	loss	0.0147671879421472	0.0375902847371936
AND1702-8.b	ref.genome.fa	ref_chrIII	227251	228000	0	loss	0.00405359530601202	0.00984632671639873
AND1702-8.b	ref.genome.fa	ref_chrIII	304251	314500	2	gain	1.42054649795725e-18	0
AND1702-8.b	ref.genome.fa	ref_chrIII	315251	315750	0	loss	0.0151079523108149	0.0386265580866537
AND1702-8.b	ref.genome.fa	ref_chrIV	92501	92750	2	gain	0.0846038123273384	0.27234371843054
AND1702-8.b	ref.genome.fa	ref_chrIV	127501	129000	0	loss	2.29250877925614e-05	1.27952956174848e-05
AND1702-8.b	ref.genome.fa	ref_chrIV	383501	384500	0	loss	0.000778243965066093	0.00158414130251872
AND1702-8.b	ref.genome.fa	ref_chrIV	524501	525250	0	loss	0.00278937566808447	0.00507440364429312
AND1702-8.b	ref.genome.fa	ref_chrV	6251	10250	0	loss	8.89853565747503e-12	1.58750790291151e-12
AND1702-8.b	ref.genome.fa	ref_chrV	21251	22000	2	gain	0.0146484142808863	0.0372547582631095
AND1702-8.b	ref.genome.fa	ref_chrV	117001	118000	2	gain	0.00061295390129708	0.000768716193664587
AND1702-8.b	ref.genome.fa	ref_chrV	434251	434500	3	gain	0.0840087574593346	0.271327672007575
AND1702-8.b	ref.genome.fa	ref_chrV	567001	570250	0	loss	9.9960203996458e-09	6.73925470984216e-10
AND1702-8.b	ref.genome.fa	ref_chrVII	751	2000	2	gain	0.000119042756902729	0.000109495798790604
AND1702-8.b	ref.genome.fa	ref_chrVII	2001	2500	0	loss	0.0231914759668083	0.0640750003687629
AND1702-8.b	ref.genome.fa	ref_chrVII	89251	90000	0	loss	0.00277647282620845	0.00513483121185876
AND1702-8.b	ref.genome.fa	ref_chrVII	1063251	1068750	2	gain	7.92385475284747e-11	6.39710506789015e-13
AND1702-8.b	ref.genome.fa	ref_chrVII	1068751	1076000	0	loss	1.32426289250593e-20	0
AND1702-8.b	ref.genome.fa	ref_chrVII	1082751	1084000	0	loss	0.000114818764433509	9.64930872976444e-05
AND1702-8.b	ref.genome.fa	ref_chrVIII	133001	134250	0	loss	0.000134686042285509	0.000159218288551699
AND1702-8.b	ref.genome.fa	ref_chrVIII	193251	194750	0	loss	0.00055577541861527	0.000702986231244429
AND1702-8.b	ref.genome.fa	ref_chrVIII	556251	557000	0	loss	0.014621639341289	0.0371346113956115
AND1702-8.b	ref.genome.fa	ref_chrIX	19501	26000	0	loss	2.6700166803322e-05	1.96977091984074e-05
AND1702-8.b	ref.genome.fa	ref_chrIX	37251	39250	3	gain	1.02652935486348e-06	2.49765385040845e-07
AND1702-8.b	ref.genome.fa	ref_chrIX	434251	439750	0	loss	7.47423283121579e-13	5.89084336866108e-13
