tetrad_id	event_id	event_type	event_subtype	chr	marker_pos_start	marker_pos_end	adjusted_pos_start	adjusted_pos_end	adjusted_size	marker_raw_index_start	marker_raw_index_end	marker_effective_index_start	marker_effective_index_end	affected_spores
AND1702-8	1	CO	Type1_CO	SK1_chrI	115298	131800	123549	123549	1	438	455	438	455	1:1:0:0
AND1702-8	2	CO	Type1_CO	SK1_chrI	171908	175889	173898.5	173898.5	1	527	535	527	535	1:1:0:0
AND1702-8	3	CO	Type1_CO	SK1_chrII	92129	93270	92699.5	92699.5	1	940	941	918	919	1:1:0:0
AND1702-8	4	CO	Type1_CO	SK1_chrII	190873	191220	191046.5	191046.5	1	1381	1382	1359	1360	1:1:0:0
AND1702-8	5	CO	Type1_CO	SK1_chrII	270259	271762	271010.5	271010.5	1	1645	1648	1623	1626	0:1:0:1
AND1702-8	6	CO	Type1_CO	SK1_chrII	721940	730052	725996	725996	1	3475	3508	3445	3478	0:1:1:0
AND1702-8	7	CO	Type1_CO	SK1_chrIII	214787	216348	215567.5	215567.5	1	4466	4474	4426	4434	0:0:1:1
AND1702-8	8	CO	Type1_CO	SK1_chrIV	119717	121567	120642	120642	1	5192	5196	5149	5153	1:1:0:0
AND1702-8	9	CO	Type1_CO	SK1_chrIV	669601	671384	670492.5	670492.5	1	7668	7676	7619	7627	1:0:1:0
AND1702-8	10	CO	Type1_CO	SK1_chrIV	980207	981979	981093	981093	1	9082	9087	9033	9037	1:0:0:1
AND1702-8	11	CO	Type1_CO	SK1_chrIV	1116883	1175613	1146248	1146248	1	9745	10010	9694	9707	1:1:0:0
AND1702-8	12	CO	Type1_CO	SK1_chrIV	1355627	1357635	1356631	1356631	1	10747	10753	10442	10448	1:1:0:0
AND1702-8	13	CO	Type1_CO	SK1_chrIX	395825	399133	397479	397479	1	23736	23747	23387	23398	0:0:1:1
AND1702-8	14	CO	Type1_CO	SK1_chrV	217340	229181	223260.5	223260.5	1	12210	12258	11902	11949	0:0:1:1
AND1702-8	15	CO	Type1_CO	SK1_chrV	352231	355984	354107.5	354107.5	1	12840	12865	12529	12554	0:1:1:0
AND1702-8	16	CO	Type1_CO	SK1_chrVI	114714	116673	115693.5	115693.5	1	14328	14337	14014	14023	1:0:1:0
AND1702-8	17	CO	Type1_CO	SK1_chrVI	203534	213580	208557	208557	1	14723	14770	14407	14454	0:1:0:1
AND1702-8	18	CO	Type1_CO	SK1_chrVI	265508	271430	268469	268469	1	15022	15060	14703	14741	1:0:0:1
AND1702-8	19	CO	Type1_CO	SK1_chrVII	52685	53669	53177	53177	1	15416	15419	15093	15096	0:0:1:1
AND1702-8	20	CO	Type1_CO	SK1_chrVII	395185	398029	396607	396607	1	16736	16759	16412	16435	1:0:1:0
AND1702-8	21	CO	Type1_CO	SK1_chrVII	452459	456534	454496.5	454496.5	1	16997	17012	16673	16688	1:0:1:0
AND1702-8	22	CO	Type1_CO	SK1_chrVII	628510	635257	631883.5	631883.5	1	17748	17771	17424	17445	1:0:1:0
