sample	ref_genome	total_reads	mapping_rate	pairing_rate	(>=5)_depth_proportion	zero_depth_proportion	mean_depth	median_depth	ref_chrI_mean_depth	ref_chrI_median_depth	ref_chrII_mean_depth	ref_chrII_median_depth	ref_chrIII_mean_depth	ref_chrIII_median_depth	ref_chrIV_mean_depth	ref_chrIV_median_depth	ref_chrV_mean_depth	ref_chrV_median_depth	ref_chrVI_mean_depth	ref_chrVI_median_depth	ref_chrVII_mean_depth	ref_chrVII_median_depth	ref_chrVIII_mean_depth	ref_chrVIII_median_depth	ref_chrIX_mean_depth	ref_chrIX_median_depth	ref_chrX_mean_depth	ref_chrX_median_depth	ref_chrXI_mean_depth	ref_chrXI_median_depth	ref_chrXII_mean_depth	ref_chrXII_median_depth	ref_chrXIII_mean_depth	ref_chrXIII_median_depth	ref_chrXIV_mean_depth	ref_chrXIV_median_depth	ref_chrXV_mean_depth	ref_chrXV_median_depth	ref_chrXVI_mean_depth	ref_chrXVI_median_depth
AND1702-8.a	ref.genome.fa	9921462	1.00	1.00	0.95	0.04	80.29	83.00	71.20	84.00	82.23	85.00	84.63	88.00	79.58	82.00	80.80	84.00	87.82	91.00	79.31	83.00	81.68	85.00	82.77	86.00	80.01	85.00	83.99	86.00	77.89	80.00	80.09	83.00	81.44	85.00	78.18	82.00	79.21	82.00
AND1702-8.b	ref.genome.fa	12601368	1.00	1.00	0.95	0.04	102.14	107.00	113.58	121.00	104.07	109.00	112.34	116.00	97.89	104.00	103.22	109.00	116.01	120.00	102.03	106.00	100.14	108.00	101.06	108.00	100.66	108.00	108.49	111.00	96.03	100.00	102.67	107.00	102.33	108.00	104.62	106.00	98.44	105.00
AND1702-8.c	ref.genome.fa	12369584	1.00	1.00	0.95	0.04	100.19	105.00	85.94	101.00	100.92	106.00	108.42	110.00	96.75	103.00	100.59	107.00	103.97	111.00	99.67	105.00	98.93	105.00	99.06	106.00	99.25	106.00	105.72	108.00	99.65	104.00	101.84	106.00	102.16	107.00	102.23	105.00	98.25	104.00
AND1702-8.d	ref.genome.fa	11426588	1.00	1.00	0.95	0.04	92.49	97.00	96.55	103.00	96.14	100.00	90.98	98.00	89.53	95.00	93.87	99.00	95.43	102.00	93.01	97.00	90.80	97.00	92.11	99.00	93.69	99.00	98.03	101.00	90.19	94.00	94.42	99.00	95.22	99.00	89.86	95.00	89.21	96.00
AND1702-9.a	ref.genome.fa	12630440	1.00	1.00	0.95	0.04	102.22	107.00	108.14	117.00	104.20	108.00	106.32	112.00	97.79	103.00	105.11	110.00	109.10	115.00	102.99	107.00	100.40	107.00	104.20	110.00	101.54	108.00	105.26	108.00	100.98	103.00	103.16	107.00	103.87	108.00	99.83	105.00	100.70	105.00
AND1702-9.b	ref.genome.fa	12000479	1.00	1.00	0.95	0.04	97.36	102.00	86.70	102.00	100.14	104.00	104.77	109.00	94.41	99.00	99.58	105.00	106.96	112.00	95.65	101.00	96.77	103.00	94.23	102.00	96.85	104.00	102.78	106.00	95.46	99.00	99.22	103.00	98.67	104.00	97.45	101.00	95.28	101.00
AND1702-9.c	ref.genome.fa	11511160	1.00	1.00	0.95	0.05	93.39	97.00	96.30	113.00	94.84	98.00	109.90	112.00	87.25	92.00	96.27	100.00	105.06	111.00	90.57	95.00	93.58	98.00	98.48	103.00	94.45	99.00	101.11	102.00	87.85	91.00	95.11	97.00	94.08	97.00	94.25	95.00	88.33	93.00
AND1702-9.d	ref.genome.fa	6920088	1.00	1.00	0.96	0.04	54.31	52.00	63.66	58.00	53.40	52.00	61.05	57.00	51.76	50.00	56.50	53.00	63.08	56.00	54.52	52.00	51.10	50.00	54.80	54.00	51.37	50.00	56.18	52.00	56.52	51.00	54.05	52.00	53.49	52.00	54.48	51.00	51.49	50.00
AND1702-10.a	ref.genome.fa	8342886	1.00	1.00	0.95	0.04	67.74	70.00	64.54	75.00	70.08	71.00	71.22	74.00	64.96	68.00	68.65	71.00	74.35	78.00	66.62	69.00	67.53	71.00	70.08	73.00	67.12	71.00	71.89	73.00	65.80	67.00	68.75	71.00	67.84	70.00	68.01	70.00	66.06	69.00
AND1702-10.b	ref.genome.fa	11413564	1.00	1.00	0.95	0.05	92.59	97.00	96.07	105.00	95.09	99.00	101.35	105.00	88.99	94.00	95.41	100.00	99.70	105.00	91.97	96.00	89.31	96.00	90.81	98.00	91.54	97.00	96.88	99.00	90.39	93.00	92.82	97.00	93.35	98.00	92.70	96.00	91.55	96.00
